date,temp,zone2,zone3,hour,consumption,error
2017-01-01 00:00:00,-2.0513557292774873,-0.8516694117070351,0.03349963815388766,-1.6608575625435524,0.15144478717273252,
2017-01-01 00:10:00,-2.07481311486184,-0.21109699160137813,0.016501728257352046,-1.6608575625435524,-0.4330793679389549,
2017-01-01 00:20:00,-2.0911523972343886,-0.2837911655158636,-0.0550684185940116,-1.6608575625435524,-0.5277086353947178,
2017-01-01 00:30:00,-2.1222132112495307,-0.4111859061160971,-0.1740537847758449,-1.6608575625435524,-0.6516478549843034,
2017-01-01 00:40:00,-2.1545682258486374,-0.5076316393624202,-0.24472930365068382,-1.6608575625435524,-0.7747496473306869,
2017-01-01 00:50:00,-2.165568930812334,-0.5975996774794046,-0.29303915250463647,-1.6608575625435524,-0.8727286237592591,
2017-01-01 01:00:00,-2.1998652462873864,-0.6810900145471523,-0.32166721062639875,-1.5163401215476873,-0.9589836215395275,
2017-01-01 01:10:00,-2.2233226318717385,-0.7465867443861633,-0.3968158631960236,-1.5163401215476873,-1.0351894924013654,
2017-01-01 01:20:00,-2.1938795685865515,-0.8322363164525227,-0.4639128748056425,-1.5163401215476873,-1.1273064795057857,
2017-01-01 01:30:00,-2.2241315072367165,-0.8890961141902842,-0.49969794745784485,-1.5163401215476873,-1.195975506557066,
2017-01-01 01:40:00,-2.220087130411828,-0.9884208274347559,-0.5238528718848212,-1.5163401215476873,-1.248733417365764,
2017-01-01 01:50:00,-2.227367008696627,-1.0323252289939424,-0.561427198943113,-1.5163401215476873,-1.2973041919584487,
2017-01-01 02:00:00,-2.2940183387707864,-1.040962161095192,-0.6043692861257559,-1.371822680551822,-1.371835209712147,-0.07811105251312256
2017-01-01 02:10:00,-2.30873987041338,-1.1316499402651152,-0.6499952541440535,-1.371822680551822,-1.46478962405977,-0.07459115982055664
2017-01-01 02:20:00,-2.3076074449024113,-1.1885097399761757,-0.6732555505945056,-1.371822680551822,-1.4974492824098722,0.0131683349609375
2017-01-01 02:30:00,-2.320225900596063,-1.2511274937636363,-0.6848857003666906,-1.371822680551822,-1.5234095241926198,0.01426243782043457
