date,temp,zone1,zone2,zone3,hour
2017-01-01 00:00:00,6.559,34055.6962,16128.87538,20240.96386,0
2017-01-01 00:10:00,6.414,29814.68354,19375.07599,20131.08434,0
2017-01-01 00:20:00,6.313,29128.10127,19006.68693,19668.43373,0
2017-01-01 00:30:00,6.121,28228.86076,18361.09422,18899.27711,0
2017-01-01 00:40:00,5.921,27335.6962,17872.34043,18442.40964,0
2017-01-01 00:50:00,5.853,26624.81013,17416.41337,18130.12048,0
2017-01-01 01:00:00,5.641,25998.98734,16993.31307,17945.06024,1
2017-01-01 01:10:00,5.496,25446.07595,16661.39818,17459.27711,1
2017-01-01 01:20:00,5.678,24777.72152,16227.35562,17025.54217,1
2017-01-01 01:30:00,5.491,24279.49367,15939.20973,16794.21687,1
2017-01-01 01:40:00,5.516,23896.70886,15435.86626,16638.07229,1
2017-01-01 01:50:00,5.471,23544.3038,15213.37386,16395.18072,1
2017-01-01 02:00:00,5.059,23003.5443,15169.60486,16117.59036,2
2017-01-01 02:10:00,4.968,22329.11392,14710.0304,15822.6506,2
2017-01-01 02:20:00,4.975,22092.1519,14421.8845,15672.28916,2
2017-01-01 02:30:00,4.897,21903.79747,14104.55927,15597.10843,2
2017-01-01 02:40:00,5.02,21685.06329,13965.95745,15510.36145,2
2017-01-01 02:50:00,5.407,21484.55696,13612.15805,15336.86747,2
2017-01-01 03:00:00,5.169,21107.8481,13535.56231,15140.24096,3
2017-01-01 03:10:00,5.081,20998.48101,13371.42857,15059.27711,3
2017-01-01 03:20:00,5.041,20870.88608,13196.35258,15013.01205,3
2017-01-01 03:30:00,5.034,20870.88608,13167.17325,14897.3494,3
2017-01-01 03:40:00,4.896,20597.46835,13137.99392,14602.40964,3
2017-01-01 03:50:00,4.805,20421.26582,12908.20669,14590.84337,3
2017-01-01 04:00:00,4.753,20524.55696,12820.66869,14585.06024,4
2017-01-01 04:10:00,4.901,20482.02532,13032.21884,14452.04819,4
2017-01-01 04:20:00,5.203,20530.63291,12926.44377,14232.28916,4
2017-01-01 04:30:00,5.394,20512.40506,12948.32827,14157.10843,4
2017-01-01 04:40:00,5.156,20494.17722,12922.79635,14232.28916,4
2017-01-01 04:50:00,5.179,20311.89873,12879.02736,14243.85542,4
2017-01-01 05:00:00,4.934,20542.78481,12806.07903,14243.85542,5
2017-01-01 05:10:00,4.718,20621.77215,12853.49544,14105.06024,5
2017-01-01 05:20:00,5.546,20627.8481,12842.55319,14266.98795,5
2017-01-01 05:30:00,4.658,20797.97468,13137.99392,14353.73494,5
2017-01-01 05:40:00,4.382,20858.73418,13203.64742,14538.79518,5
2017-01-01 05:50:00,4.212,21393.41772,13575.68389,14862.6506,5
2017-01-01 06:00:00,4.308,22219.74684,14068.08511,14908.91566,6
2017-01-01 06:10:00,4.735,21928.10127,13852.88754,14729.63855,6
2017-01-01 06:20:00,4.769,21776.20253,13626.74772,14625.54217,6
2017-01-01 06:30:00,4.92,21654.68354,13582.97872,14480.96386,6
2017-01-01 06:40:00,4.408,21466.32911,13539.20973,14319.03614,6
2017-01-01 06:50:00,4.29,20846.58228,12908.20669,14018.31325,6
2017-01-01 07:00:00,4.304,19983.79747,12342.85714,13492.04819,7
2017-01-01 07:10:00,4.513,18908.35443,11897.87234,12630.36145,7
2017-01-01 07:20:00,4.489,18167.08861,11551.36778,11600.96386,7
2017-01-01 07:30:00,4.356,18075.94937,11263.22188,10640.96386,7
2017-01-01 07:40:00,4.478,18063.79747,10719.75684,10455.90361,7
2017-01-01 07:50:00,4.583,18045.56962,10924.01216,10496.38554,7
2017-01-01 08:00:00,4.794,18385.82278,10949.54407,10710.36145,8
2017-01-01 08:10:00,4.807,18987.34177,11347.11246,10837.59036,8
2017-01-01 08:20:00,4.757,19576.70886,11733.7386,10941.68675,8
2017-01-01 08:30:00,4.509,19837.97468,11945.28875,11178.79518,8
2017-01-01 08:40:00,4.346,20166.07595,12029.17933,11514.21687,8
2017-01-01 08:50:00,4.718,20676.4557,12426.74772,11959.51807,8
2017-01-01 09:00:00,4.704,21296.20253,12871.73252,12283.37349,9
2017-01-01 09:10:00,4.624,22043.5443,13203.64742,12427.95181,9
2017-01-01 09:20:00,4.629,22651.13924,13542.85714,12826.98795,9
2017-01-01 09:30:00,4.599,23131.13924,14046.20061,13121.92771,9
2017-01-01 09:40:00,4.524,23641.51899,14392.70517,13648.19277,9
2017-01-01 09:50:00,4.575,24668.35443,14830.39514,13850.60241,9
2017-01-01 10:00:00,5.124,25275.94937,15238.90578,14162.89157,10
2017-01-01 10:10:00,5.836,25920.0,15837.08207,14428.91566,10
2017-01-01 10:20:00,5.996,26393.92405,16059.57447,14671.80723,10
2017-01-01 10:30:00,6.22,26861.77215,16322.18845,15036.14458,10
2017-01-01 10:40:00,6.703,27511.89873,16774.46809,15267.46988,10
2017-01-01 10:50:00,6.993,28149.87342,17164.74164,15244.33735,10
2017-01-01 11:00:00,7.54,28714.93671,17507.59878,15591.3253,11
2017-01-01 11:10:00,8.22,29043.03797,17478.41945,15816.86747,11
2017-01-01 11:20:00,9.49,29261.77215,17792.09726,15932.53012,11
2017-01-01 11:30:00,10.65,29474.43038,17748.32827,16053.9759,11
2017-01-01 11:40:00,11.06,29523.03797,17963.52584,16256.38554,11
2017-01-01 11:50:00,12.4,29711.39241,18142.24924,16354.6988,11
2017-01-01 12:00:00,13.08,29644.55696,18131.30699,16562.89157,12
2017-01-01 12:10:00,14.38,29802.53165,18102.12766,16522.40964,12
2017-01-01 12:20:00,15.02,29887.59494,18156.83891,16649.63855,12
2017-01-01 12:30:00,15.55,30039.49367,18335.56231,16869.39759,12
2017-01-01 12:40:00,15.56,29966.58228,18204.25532,17094.93976,12
2017-01-01 12:50:00,15.49,29996.96203,18196.96049,17418.79518,12
2017-01-01 13:00:00,15.57,30258.22785,18466.8693,17413.01205,13
2017-01-01 13:10:00,15.65,30404.05063,18350.15198,17436.14458,13
2017-01-01 13:20:00,15.73,30094.17722,18331.91489,17332.04819,13
2017-01-01 13:30:00,15.68,30161.01266,18419.45289,17465.06024,13
2017-01-01 13:40:00,15.7,30318.98734,18310.0304,17164.33735,13
2017-01-01 13:50:00,15.75,30154.93671,18390.27356,16979.27711,13
2017-01-01 14:00:00,15.83,29984.81013,18353.79939,17054.45783,14
2017-01-01 14:10:00,15.79,30021.26582,18142.24924,17048.6747,14
2017-01-01 14:20:00,15.72,30021.26582,18113.06991,16950.36145,14
2017-01-01 14:30:00,15.8,29911.89873,18036.47416,16823.13253,14
2017-01-01 14:40:00,15.74,29747.8481,17996.35258,16684.33735,14
2017-01-01 14:50:00,15.72,29705.31646,17952.58359,16678.55422,14
2017-01-01 15:00:00,15.64,29571.64557,17894.22492,16753.73494,15
